input_text,target_text
그니까 사람을 깨,괜히 그 사람 이르케
수영 버거는 얼마정도에?,o/ 수영복은 얼마 정도 해?
자식들이?,자식들이?
깨는 것도 렌더입니다,깨는 것도 랜덤이다?
근데 렌트 자체가 면허 따고 1년 이내는 못해,o/ 근데 렌트 자체가 면허 따고 (1년)/(일 년) 이내에는 못 해.
SNS 하지,SNS 하지.
그거 보고 와 진짜 신고 못하고 나 딱 듣겠지,그거 보고 와/ 진짜 신콜 못하구나 딱 느꼈지.
또 꺾여 불법 저지르는 그런 애였니? 진짜 내가 친구를 잘못 석였구나,"o/ 너 그렇게 불법 저지르는 그런 애였니, 진짜 내가 친구를 잘못 사겼구나."
6개월 연장한데?,(6개월)/(육 개월)? 연장 안 돼?
좀 많이 못 느끼니까 단을 안 내리겠지만 그래서 저는 항상 마누라한테 미안하게 생각하고 있거든요 제가요.,좀 많이 못 느끼니까는 뭐/ 다는 안 그러겠지마는 그래서 전 좀 항상 마누라한테 좀 미안하게 생각하고 있거든요. 제가요.
갔다가 오와도 되지 않을까 시간?,갔다가 와도 되지 않을까? 시간?
끝까지 잘 노력했으면 좋겠다고 생각이 들었지,끝까지 잘 노력했으면 좋겠다고 생각이 들었지.
왜지?,왜지?
아 그런 것 같아요,o/ 아 그런 거 같애요.
카투사 애들이 토익 점수 필요하다고 들은 것 같기도 하고 그래서 뭐가 필요한지 몰라서 뭘 준비해야 될지도 모르겠고 일경은 체력 시험 보고 난 뒤는 면접 보고 전부 다 그거라고 들었는데 나는 추첨?,"카투사 애들이 막 토익점수 필요하다고 들은 거 같기도 하구, 그래서 뭐가 필요한지 몰라서 뭘 준비해야 될지도 모르겠구, 의경은 체력시험 보고 난 뒤는 면접 보고, 전부 다 그거라고 들었는데 나는, 추첨?"
나는 요즘에도 게임 오라면 자괴감되게 되던데,아! 나는 요즘에도 n/ 게임 오래 하면 자괴감 들던데?
근데 나는 이분이 약간 2번 딸은 알바는 마지막,안데 나는 이번이 약간 이번 달은 알바는 마지막.
그냥 할 주제가 없어서 폐지된 거 아니야?,그냥 할 주제가 없어서 폐지된 거 아니야?
있긴 있어 뭐든,있긴 있어. 뭐든.
소개팅도 하도 막 해보니까 해보러 타니까 못하겠고 그리고 원래 소개팅으로 잘 되는 게 쉽지가 않잖아 그치?,"소개팅도 하도 막 해보니까 해 버릇하니까 못 하겠고, 그리고 원래 소개팅으로 잘 되는기가 쉽지가 않잖아, n/ 그치."
